angular_section,amplitude0,desired_radius,period_factors,offset_factor_x,mid_factor_x,curve_weight,thickness_factor,thickness
0,26.71,27.51,"[0.87, 0.53, 1.6]",-0.06,0.38,6.8,"[1.07, 0.91, 1.02]",1.29
180,25.26,28.0,"[0.6, 0.6, 1.8]",0.33,0.5,4.97,"[1.12, 1.17, 0.71]",1.26
