angular_section,amplitude0,desired_radius,period_factors,offset_factor_x,mid_factor_x,curve_weight,thickness_factor,thickness
0,15.17,25.0,"[0.96, 1.33, 0.71]",0,0,5.03,"[1.02, 0.76, 1.02]",1.01
180,15.17,20.0,"[1.04, 0.71, 1.33]",0,0,3.03,"[0.76, 1.02, 0.76]",1.01

