angular_section,amplitude0,desired_radius,period_factors,offset_factor_x,mid_factor_x,curve_weight,min_y_positions,thickness_factor,thickness_factor2,thickness,thickness_mode
0,20.0,20.0,"[0.9, 1.0, 1.1]",0.3,0,5.0,"[0.0, 0.35, 0.35]","[0.3, 1.0, 0.3]","[0.3, 0.3, 0.3]",2,"collapsed"
180,20.0,30.0,"[0.8, 1.1, 1.1]",0.6,0,5.0,"[0.0, 0.0, 0.0]","[0.3, 1.0, 0.3]","[0.3, 0.3, 0.3]",2,"collapsed"
