Prototype ID,export_folder,config_csv,use_linear_fast,arc_length_min,arc_length_max
bending1,prototype_models,datasets/configs/bending1.csv,False,125.867729,132.170158
bending2,prototype_models,datasets/configs/bending2.csv,False,128.937611,130.830984
bending3,prototype_models,datasets/configs/bending3.csv,False,121.204404,139.510840
bending4,prototype_models,datasets/configs/bending4.csv,False,129.540729,130.050691
bending6,prototype_models,datasets/configs/bending6.csv,False,121.751843,139.148662
bending7,prototype_models,datasets/configs/bending7.csv,False,121.239724,139.476318
bending8,prototype_models,datasets/configs/bending8.csv,False,126.092275,132.667050
