angular_section,amplitude0,desired_radius,period_factors,offset_factor_x,mid_factor_x,curve_weight,thickness_factor,thickness
0,20.0,25.0,"[1.0, 1.0, 1.0]",0,0.5,5.0,"[1.0, 1.0, 1.0]",1
180,20.0,25.0,"[1.0, 1.0, 1.0]",0,-0.5,5.0,"[1.0, 1.0, 1.0]",1
