angular_section,amplitude0,desired_radius,period_factors,offset_factor_x,mid_factor_x,curve_weight,thickness_factor,thickness
0.0,20.0,26.68321677528882,"[0.6, 0.6, 1.7999999999999998]",0.3546590594782151,0.2956196234212771,4.461139457139208,"[1.0495487244627717, 1.1153552406423026, 0.8350960348949256]",1.4316951046757544
180.0,20.0,27.09566395100618,"[0.6585985388000628, 0.856368104508512, 1.485033356691425]",-0.005543942394127477,-0.08985030304274944,5.4715572278820375,"[1.134618843501684, 1.2080923359081186, 0.6572888205901973]",1.402791310818887
