Prototype ID,export_folder,config_csv,use_linear_fast,arc_length_min,arc_length_max,arc_length_ratio,thickness_min,thickness_max,thickness_ratio
lin_collapse1,prototype_models,datasets/configs/lin_collapse1.csv,False,129.936931,129.936931,1.000000,2.000000,2.000000,1.000000
lin_collapse2,prototype_models,datasets/configs/lin_collapse2.csv,False,132.485986,132.485986,1.000000,2.000000,2.000000,1.000000
lin_collapse3,prototype_models,datasets/configs/lin_collapse3.csv,False,135.171176,135.171176,1.000000,2.000000,2.000000,1.000000
lin_collapse4,prototype_models,datasets/configs/lin_collapse4.csv,False,138.002731,138.002731,1.000000,2.000000,2.000000,1.000000
lin_collapse5,prototype_models,datasets/configs/lin_collapse5.csv,False,140.623198,140.623198,1.000000,2.000000,2.000000,1.000000
