Prototype ID,export_folder,config_csv,use_linear_fast,arc_length_min,arc_length_max,arc_length_ratio,thickness_min,thickness_max,thickness_ratio
lin_collapse0,prototype_models,datasets/configs/lin_collapse0a.csv,False,139.782873,139.782873,1.000000,2.000000,2.000000,1.000000
lin_collapse1,prototype_models,datasets/configs/lin_collapse5.csv,False,140.623198,140.623198,1.000000,2.000000,2.000000,1.000000
bend_collapse1,prototype_models,datasets/configs/bend_collapse1.csv,False,133.186499,147.841777,1.110036,2.000000,2.000000,1.000000
sbending0,prototype_models,datasets/configs/sbending0.csv,False,153.366659,173.707639,1.132630,1.800000,1.800000,1.000000
