angular_section,amplitude0,desired_radius,period_factors,offset_factor_x,mid_factor_x,curve_weight,thickness_factor,thickness
5,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
10,20,24.75,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
15,20,24.5,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
20,20,24.25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
25,20,24,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
30,20,23.75,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
35,20,23.5,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
40,20,23.25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
45,20,23,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
50,20,22.75,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
55,20,22.5,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
60,20,22.25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
65,20,22,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
70,20,21.75,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
75,20,21.5,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
80,20,21.25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
85,20,21,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
90,20,20.75,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
95,20,21,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
100,20,21.25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
105,20,21.5,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
110,20,21.75,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
115,20,22,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
120,20,22.25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
125,20,22.5,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
130,20,22.75,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
135,20,23,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
140,20,23.25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
145,20,23.5,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
150,20,23.75,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
155,20,24,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
160,20,24.25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
165,20,24.5,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
170,20,24.75,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
175,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
180,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
185,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
