angular_section,amplitude0,desired_radius,period_factors,offset_factor_x,mid_factor_x,curve_weight,thickness_factor,thickness
10,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.0
20,20,25,"[1.1, 1.0, 0.9]",0,0,5.0,"[1.0, 1.0, 1.0]",1.0
30,20,25,"[1.2, 1.0, 0.8]",0,0,5.0,"[1.0, 1.0, 1.0]",1.0
40,20,25,"[1.3, 1.0, 0.7]",0,0,5.0,"[1.0, 1.0, 1.0]",1.0
50,20,25,"[1.4, 1.0, 0.6]",0,0,5.0,"[1.0, 1.0, 1.0]",1.0
60,20,25,"[1.5, 1.0, 0.5]",0,0,5.0,"[1.0, 1.0, 1.0]",1.0
70,20,25,"[1.6, 1.0, 0.4]",0,0,5.0,"[1.0, 1.0, 1.0]",1.0
80,20,25,"[1.7, 1.0, 0.3]",0,0,5.0,"[1.0, 1.0, 1.0]",1.0
90,20,25,"[1.8, 1.0, 0.2]",0,0,5.0,"[1.0, 1.0, 1.0]",1.0
