angular_section,amplitude0,desired_radius,period_factors,offset_factor_x,mid_factor_x,curve_weight,thickness_factor,thickness
30,20,23,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
60,20,21,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
90,20,19,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
120,20,21,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
150,20,23,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
180,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
210,20,27,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
240,20,29,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
270,20,31,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
300,20,29,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
330,20,27,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
360,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1
