angular_section,amplitude0,desired_radius,period_factors,offset_factor_x,mid_factor_x,curve_weight,thickness_factor,thickness
0,18.36,25.34,"[0.87, 0.73, 1.4]",-0.06,0.18,6.8,"[1.07, 0.91, 1.07]",1.29
180,18.36,21.0,"[0.8, 0.7, 1.5]",0.33,-0.1,3.75,"[1.12, 1.17, 1.12]",0.89
