angular_section,amplitude0,desired_radius,period_factors,offset_factor_x,mid_factor_x,curve_weight,thickness_factor,thickness
0,20.0,24.0,"[1.0, 1.0, 1.0]",-0.1,0,5.0,"[1.0, 1.0, 1.0]",1.05
180,20.0,26.0,"[1.0, 1.0, 1.0]",0.15,0,5.0,"[1.0, 1.0, 1.0]",0.95
